transaction_id,product_name,main_category,item_count,items,source
8076809513753,PESTO alla GENOVESE,green pestos,12,sunflower oil | fresh basil | cashew nuts | parmigiano reggiano pdo cheese | maize fibre | whey powder | milk protein | extra virgin olive oil | basil extract | natural flavourings | acidity regulator: lactic acid | garlic,Open Food Facts
8076809523547,Pesto Rosso,red pestos,14,tomato pulp | sunflower oil | tomato concentrate | grana padano pdo cheese (milk | lysozyme from egg | cashews | basil | balsamic vinegar of modena (wine vinegar | cooked grape must | whey powder | pecorino romano pdo cheese | rice starch | garlic | acidity regulator: lactic acid,Open Food Facts
6111184004129,Mayonnaise recette originale,groceries,8,huile de soja | vinaigre de table | jaune d’œufs | moutarde&quot | stabilisants (e412 | e415 | conservateur : (e202 | e211) et antioxydant : e330. contient des sulfites,Open Food Facts
8720182556738,Maille Moutarde Fine de Dijon L'Originale Bocal 360g,dijon mustards,4,graines de moutarde | vinaigre d'alcool | acidifiant : acide citrique | conservateur : disulfite de potassium,Open Food Facts
6111184004730,Ketchup star 310 g,groceries,7,starch | خل الطماطلخ مركز سكر | المکونات | مواد معدل | مشخن المائدة | وتوابل حافظة | e202 e211,Open Food Facts
8445290615350,sauce tomate cuisinée,salsas de tomate frito,8,tomato | tomato concentrate | non hydrogenated sunflower oil | modified corn starch | natural onion flavor | onion | garlic | white pepper,Open Food Facts
8715700407760,Tomato Ketchup BIO,ketchup,5,tomates | vinaigre | épices | poudre d'oignon | poudre d'ail,Open Food Facts
3033710084913,MAGGI Arôme - Bouteille de 250g,flavors,3,arômes | exhausteurs de goût : glutamate monosodique | inosinate disodique,Open Food Facts
6111251753912,611251753912,tomato sauces,7,ingrédients: purée de tomate | huile de tournesol | amidon de mais modifié | arôme de légumes. de matières sèches | ingredientes: puré de tomate | aceite de girasol | almidón modificado de maíz,Open Food Facts
6111251753899,Olla,tomato sauces,4,puré de tomate | aceite de girasol | almidón modificado de maiz | aroma de verduras,Open Food Facts
3292070005161,Houmous extra - Pois chiches français & graines de sésame,classic hummus,6,crustacés | oeufs | poissons | soja | lait | moutarde et mollusques,Open Food Facts
6111184000619,Mayonnaise,groceries,6,المكونات: زيت الصوجا، ماء، خل المائدة | أصفر البيض، خردل ، ملح | مثبت e415، مواد حافظة: (e202 | e211) ومضادات الأكسدة:( e330 | e385 | يحتوي على السولفيت,Open Food Facts
8715035110106,Soy Sauce,sauces au soja salees,6,soya bean | vegetable | legume | pulse | soya | wheat,Open Food Facts
87157215,Tomato Ketchup,tomato ketchup,5,tomates | vinaigre | extraits d'épices et d'herbes | céleri | épice,Open Food Facts
8720182460721,Amora Moutarde Forte Bocal 430g,dijon mustards,4,graines de moutarde | vinaigre d'alcool | acidifiant : acide citrique | conservateur : disulfite de potassium,Open Food Facts
