rating_id,customer_id,dish_id,rating,comment,rating_date
1,1,31,4,Món rất ngon!,2026-01-10 11:57:43
2,1,76,5,Món rất ngon!,2026-01-10 11:57:43
3,1,24,4,"Ngon, sẽ quay lại",2026-01-10 11:57:43
4,1,134,5,Giá hơi cao,2026-01-10 11:57:43
5,1,72,5,,2026-02-15 11:57:43
6,1,136,3,Bình thường,2026-02-15 11:57:43
7,1,138,3,Món rất ngon!,2026-02-15 11:57:43
8,1,110,5,Phục vụ tốt,2026-02-15 11:57:43
9,1,80,3,Món rất ngon!,2026-01-11 11:57:43
10,1,17,4,Tuyệt vời,2026-01-11 11:57:43
11,1,46,5,Phục vụ tốt,2026-01-11 11:57:43
12,1,42,3,Phục vụ tốt,2026-01-17 11:57:43
13,1,38,5,Tuyệt vời,2026-01-17 11:57:43
14,1,27,4,"Đậm đà, hợp khẩu vị",2025-12-15 11:57:43
15,1,96,4,"Đậm đà, hợp khẩu vị",2025-12-15 11:57:43
16,1,31,4,Món rất ngon!,2025-12-15 11:57:43
17,1,66,5,Tuyệt vời,2025-12-15 11:57:43
18,1,40,5,Phục vụ tốt,2025-11-02 11:57:43
19,1,67,5,Giá hơi cao,2025-11-02 11:57:43
20,2,8,4,,2025-11-17 11:57:43
21,2,11,5,Bình thường,2025-11-17 11:57:43
22,2,27,5,Phục vụ tốt,2025-11-17 11:57:43
23,2,105,5,"Ngon, sẽ quay lại",2026-01-28 11:57:43
24,2,31,4,Món rất ngon!,2026-01-28 11:57:43
25,2,111,5,Giá hơi cao,2026-01-28 11:57:43
26,2,45,5,Phục vụ tốt,2026-01-28 11:57:43
27,2,87,4,"Ngon, sẽ quay lại",2026-03-19 11:57:43
28,2,6,5,Giá hơi cao,2026-03-19 11:57:43
29,2,91,5,,2026-03-19 11:57:43
30,2,96,3,Tuyệt vời,2026-03-21 11:57:43
31,2,81,5,Phục vụ tốt,2026-03-21 11:57:43
32,2,125,4,Bình thường,2026-03-21 11:57:43
33,2,36,4,"Đậm đà, hợp khẩu vị",2026-01-09 11:57:43
34,2,23,5,Giá hơi cao,2026-01-09 11:57:43
35,2,138,5,Món rất ngon!,2026-01-09 11:57:43
36,2,133,5,,2026-01-09 11:57:43
37,2,49,4,"Đậm đà, hợp khẩu vị",2025-11-05 11:57:43
38,2,52,5,Món rất ngon!,2025-11-05 11:57:43
39,3,106,5,Giá hơi cao,2026-04-09 11:57:43
40,3,53,5,Bình thường,2026-04-09 11:57:43
41,3,51,5,Tuyệt vời,2026-04-09 11:57:43
42,3,125,4,Bình thường,2026-04-09 11:57:43
43,3,113,4,"Đậm đà, hợp khẩu vị",2026-03-28 11:57:43
44,3,45,5,Món rất ngon!,2026-03-28 11:57:43
45,3,30,5,Bình thường,2026-03-28 11:57:43
46,4,10,4,Phục vụ tốt,2026-03-04 11:57:43
47,4,104,4,Giá hơi cao,2026-03-04 11:57:43
48,4,94,4,Phục vụ tốt,2026-03-04 11:57:43
49,4,103,3,"Đậm đà, hợp khẩu vị",2025-12-10 11:57:43
50,4,40,5,,2025-12-10 11:57:43
51,4,75,5,Bình thường,2026-01-05 11:57:43
52,4,62,5,Bình thường,2026-01-05 11:57:43
53,4,16,5,"Đậm đà, hợp khẩu vị",2026-01-05 11:57:43
54,5,80,5,Món rất ngon!,2026-03-16 11:57:43
55,5,114,5,Tuyệt vời,2026-03-16 11:57:43
56,5,2,4,,2025-12-13 11:57:43
57,5,8,4,Phục vụ tốt,2025-12-13 11:57:43
58,5,71,5,Món rất ngon!,2026-02-08 11:57:43
59,5,58,4,Giá hơi cao,2026-02-08 11:57:43
60,5,101,5,Giá hơi cao,2026-02-08 11:57:43
61,5,103,5,Phục vụ tốt,2026-02-08 11:57:43
62,5,43,5,Phục vụ tốt,2026-02-13 11:57:43
63,5,114,4,Giá hơi cao,2026-02-13 11:57:43
64,5,83,4,"Ngon, sẽ quay lại",2026-02-13 11:57:43
65,5,7,5,Giá hơi cao,2026-02-13 11:57:43
66,5,124,5,,2026-03-03 11:57:43
67,5,83,4,Giá hơi cao,2026-03-03 11:57:43
68,5,138,4,"Đậm đà, hợp khẩu vị",2026-03-03 11:57:43
69,5,73,5,Món rất ngon!,2025-11-16 11:57:43
70,5,78,5,"Đậm đà, hợp khẩu vị",2025-11-16 11:57:43
71,5,63,4,Tuyệt vời,2025-11-16 11:57:43
72,5,67,4,Bình thường,2026-02-19 11:57:43
73,5,131,3,"Đậm đà, hợp khẩu vị",2026-02-19 11:57:43
74,5,107,3,Bình thường,2026-02-19 11:57:43
75,5,60,4,Giá hơi cao,2026-02-19 11:57:43
76,6,21,5,"Ngon, sẽ quay lại",2025-12-09 11:57:43
77,6,114,5,"Ngon, sẽ quay lại",2025-12-09 11:57:43
78,6,108,4,Phục vụ tốt,2025-12-09 11:57:43
79,6,55,4,"Đậm đà, hợp khẩu vị",2026-03-26 11:57:43
80,6,88,5,Giá hơi cao,2026-03-26 11:57:43
81,6,73,4,"Đậm đà, hợp khẩu vị",2026-03-26 11:57:43
82,6,125,4,,2026-03-26 11:57:43
83,6,136,5,Bình thường,2026-03-23 11:57:43
84,6,26,5,Giá hơi cao,2026-03-23 11:57:43
85,6,69,4,"Ngon, sẽ quay lại",2026-03-23 11:57:43
86,6,90,5,Bình thường,2026-03-23 11:57:43
87,6,65,5,Tuyệt vời,2026-02-01 11:57:43
88,6,133,4,"Đậm đà, hợp khẩu vị",2026-02-01 11:57:43
89,6,33,3,Bình thường,2026-02-01 11:57:43
90,6,74,4,,2026-02-01 11:57:43
91,6,3,5,,2026-02-01 11:57:43
92,7,97,1,Phục vụ tốt,2026-03-17 11:57:43
93,7,101,4,Phục vụ tốt,2026-03-01 11:57:43
94,7,44,3,"Đậm đà, hợp khẩu vị",2025-11-22 11:57:43
95,7,120,4,Phục vụ tốt,2025-11-22 11:57:43
96,7,94,5,"Đậm đà, hợp khẩu vị",2025-11-22 11:57:43
97,7,128,4,Món rất ngon!,2026-01-08 11:57:43
98,7,140,3,"Đậm đà, hợp khẩu vị",2026-01-08 11:57:43
99,7,26,4,,2026-03-06 11:57:43
100,7,29,5,Phục vụ tốt,2026-03-06 11:57:43
101,7,57,5,Bình thường,2026-03-06 11:57:43
102,8,7,3,Tuyệt vời,2026-04-11 11:57:43
103,8,133,4,,2026-04-11 11:57:43
104,8,32,5,Phục vụ tốt,2026-04-11 11:57:43
105,8,58,5,"Ngon, sẽ quay lại",2026-04-11 11:57:43
106,8,140,5,"Đậm đà, hợp khẩu vị",2026-03-23 11:57:43
107,8,137,4,"Ngon, sẽ quay lại",2026-03-23 11:57:43
108,8,131,5,Tuyệt vời,2026-03-13 11:57:43
109,8,16,4,"Ngon, sẽ quay lại",2026-03-13 11:57:43
110,8,88,5,,2026-03-13 11:57:43
111,8,24,5,"Ngon, sẽ quay lại",2026-03-13 11:57:43
112,8,117,4,Bình thường,2025-11-08 11:57:43
113,8,26,5,"Ngon, sẽ quay lại",2025-11-08 11:57:43
114,8,101,5,Giá hơi cao,2025-11-08 11:57:43
115,8,129,5,Bình thường,2026-02-10 11:57:43
116,8,101,5,"Đậm đà, hợp khẩu vị",2026-02-10 11:57:43
117,8,73,5,Món rất ngon!,2026-03-20 11:57:43
118,9,65,5,"Ngon, sẽ quay lại",2026-04-03 11:57:43
119,9,43,4,Phục vụ tốt,2026-04-03 11:57:43
120,9,85,5,Món rất ngon!,2025-12-30 11:57:43
121,9,45,4,"Đậm đà, hợp khẩu vị",2025-12-30 11:57:43
122,9,130,5,Bình thường,2025-12-30 11:57:43
123,9,69,4,,2026-02-24 11:57:43
124,9,105,1,Giá hơi cao,2026-02-24 11:57:43
125,9,106,4,Phục vụ tốt,2026-02-24 11:57:43
126,9,93,5,Tuyệt vời,2025-11-19 11:57:43
127,9,6,5,"Ngon, sẽ quay lại",2025-11-19 11:57:43
128,9,32,4,"Đậm đà, hợp khẩu vị",2025-11-19 11:57:43
129,9,75,4,Giá hơi cao,2025-12-14 11:57:43
130,9,20,4,Bình thường,2025-12-14 11:57:43
131,10,81,5,"Ngon, sẽ quay lại",2025-11-26 11:57:43
132,10,58,5,Giá hơi cao,2025-11-26 11:57:43
133,10,34,5,"Ngon, sẽ quay lại",2025-11-18 11:57:43
134,10,106,4,Món rất ngon!,2025-11-18 11:57:43
135,11,108,5,"Đậm đà, hợp khẩu vị",2026-03-19 11:57:43
136,11,76,4,Tuyệt vời,2026-03-19 11:57:43
137,11,46,1,Giá hơi cao,2026-03-19 11:57:43
138,11,11,3,Tuyệt vời,2025-12-05 11:57:43
139,11,68,4,Tuyệt vời,2025-12-05 11:57:43
140,11,133,4,"Ngon, sẽ quay lại",2025-12-19 11:57:43
141,11,105,3,Giá hơi cao,2025-12-19 11:57:43
142,11,38,4,Tuyệt vời,2025-12-21 11:57:43
143,12,42,5,Tuyệt vời,2026-01-27 11:57:43
144,12,115,4,Bình thường,2026-01-27 11:57:43
145,12,34,4,Phục vụ tốt,2026-01-27 11:57:43
146,12,66,5,,2026-02-27 11:57:43
147,12,5,5,Bình thường,2026-02-27 11:57:43
148,13,53,4,,2025-12-16 11:57:43
149,13,68,3,"Đậm đà, hợp khẩu vị",2025-12-16 11:57:43
150,13,55,4,Giá hơi cao,2025-12-10 11:57:43
151,13,119,4,"Ngon, sẽ quay lại",2025-12-10 11:57:43
152,13,25,5,Bình thường,2025-12-10 11:57:43
153,13,118,4,"Đậm đà, hợp khẩu vị",2025-12-10 11:57:43
154,13,110,5,"Đậm đà, hợp khẩu vị",2026-02-16 11:57:43
155,13,6,5,Tuyệt vời,2026-02-16 11:57:43
156,13,65,5,Bình thường,2026-02-16 11:57:43
157,13,84,2,Giá hơi cao,2026-02-16 11:57:43
158,13,70,4,Phục vụ tốt,2026-02-03 11:57:43
159,13,73,5,"Đậm đà, hợp khẩu vị",2026-03-03 11:57:43
160,13,93,4,,2026-03-03 11:57:43
161,13,48,5,"Ngon, sẽ quay lại",2025-12-10 11:57:43
162,13,92,4,Tuyệt vời,2025-12-10 11:57:43
163,13,53,5,Phục vụ tốt,2025-12-10 11:57:43
164,14,15,5,"Ngon, sẽ quay lại",2026-03-19 11:57:43
165,14,73,4,Phục vụ tốt,2026-03-19 11:57:43
166,14,17,5,Giá hơi cao,2026-03-19 11:57:43
167,14,52,5,"Ngon, sẽ quay lại",2026-02-02 11:57:43
168,14,125,3,Phục vụ tốt,2026-02-02 11:57:43
169,14,45,4,Món rất ngon!,2026-02-27 11:57:43
170,15,72,4,Phục vụ tốt,2026-01-15 11:57:43
171,15,9,4,Giá hơi cao,2026-01-15 11:57:43
172,15,97,4,Phục vụ tốt,2026-01-15 11:57:43
173,15,79,4,Tuyệt vời,2026-02-12 11:57:43
174,15,19,4,Món rất ngon!,2026-02-12 11:57:43
175,15,17,5,Phục vụ tốt,2026-02-12 11:57:43
176,15,138,5,Phục vụ tốt,2026-02-12 11:57:43
177,16,7,4,"Ngon, sẽ quay lại",2026-01-30 11:57:43
178,16,137,5,Phục vụ tốt,2026-01-30 11:57:43
179,16,4,4,"Ngon, sẽ quay lại",2026-01-30 11:57:43
180,16,11,5,,2026-02-20 11:57:43
181,16,128,4,Giá hơi cao,2026-02-20 11:57:43
182,16,130,5,,2025-11-01 11:57:43
183,16,141,5,"Ngon, sẽ quay lại",2025-11-01 11:57:43
184,16,91,1,"Ngon, sẽ quay lại",2025-11-01 11:57:43
185,16,129,5,Món rất ngon!,2025-11-01 11:57:43
186,17,87,4,Giá hơi cao,2026-04-08 11:57:43
187,17,122,5,"Đậm đà, hợp khẩu vị",2026-04-08 11:57:43
188,17,2,4,Phục vụ tốt,2026-04-08 11:57:43
189,17,78,5,"Đậm đà, hợp khẩu vị",2026-04-08 11:57:43
190,17,27,5,"Ngon, sẽ quay lại",2026-01-19 11:57:43
191,17,31,5,Giá hơi cao,2026-01-19 11:57:43
192,17,103,4,Giá hơi cao,2026-04-01 11:57:43
193,17,111,5,Phục vụ tốt,2026-04-01 11:57:43
194,17,96,5,Món rất ngon!,2026-04-01 11:57:43
