set_id,set_name,price_vnd,source_url,item_order,raw_item_text
SM200_01,"Set menu 200.000đ /người (1)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-1,1,"CẢI THÌA XÀO DẦU HÀO"
SM200_01,"Set menu 200.000đ /người (1)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-1,2,"GÀ RANG GỪNG"
SM200_01,"Set menu 200.000đ /người (1)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-1,3,"CÁ BỐNG KHO TỘ"
SM200_01,"Set menu 200.000đ /người (1)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-1,4,"TÔM RIM THỊT"
SM200_01,"Set menu 200.000đ /người (1)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-1,5,"MỰC CHIÊN NƯỚC MẮM"
SM200_01,"Set menu 200.000đ /người (1)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-1,6,"CANH CUA CÀ PHÁO"
SM200_01,"Set menu 200.000đ /người (1)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-1,7,"CƠM NIÊU"
SM200_01,"Set menu 200.000đ /người (1)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-1,8,"TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ"
SM200_02,"Set menu 200.000đ /người (2)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-2,1,"ĐẬU QUE XÀO LÒNG GÀ"
SM200_02,"Set menu 200.000đ /người (2)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-2,2,"VỊT KHO GỪNG"
SM200_02,"Set menu 200.000đ /người (2)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-2,3,"CÁ NGỪ ĐD KHO THƠM"
SM200_02,"Set menu 200.000đ /người (2)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-2,4,"THỊT KHO TRỨNG"
SM200_02,"Set menu 200.000đ /người (2)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-2,5,"TÔM RANG MUỐI"
SM200_02,"Set menu 200.000đ /người (2)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-2,6,"CANH THÁT LÁT KHỔ QUA"
SM200_02,"Set menu 200.000đ /người (2)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-2,7,"CƠM NIÊU"
SM200_02,"Set menu 200.000đ /người (2)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-2,8,"TRÁI CÂY+KHĂN LẠNH+ TRÀ ĐÁ"
SM200_03,"Set menu 200.000đ /người (3)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,1,"RAU LUỘC THẬP CẨM KHO QUẸT"
SM200_03,"Set menu 200.000đ /người (3)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,2,"GÀ CHIÊN NƯỚC MẮM"
SM200_03,"Set menu 200.000đ /người (3)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,3,"TÔM CHÁY TỎI"
SM200_03,"Set menu 200.000đ /người (3)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,4,"THỊT KHO CỦ CẢI TRẮNG"
SM200_03,"Set menu 200.000đ /người (3)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,5,"CÁ NGỪ ĐAI DƯƠNG SỐT CÀ"
SM200_03,"Set menu 200.000đ /người (3)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,6,"CANH CÁ NẤU RIÊU"
SM200_03,"Set menu 200.000đ /người (3)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,7,"CƠM NIÊU"
SM200_03,"Set menu 200.000đ /người (3)",200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,8,"TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ"
SM250_01,"Set menu 250.000đ /người (1)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,1,"GÂN BÒ XÀO CẢI CHUA"
SM250_01,"Set menu 250.000đ /người (1)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,2,"GÀ HẤP MẮM NHĨ"
SM250_01,"Set menu 250.000đ /người (1)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,3,"BÒ SỐT NẤM"
SM250_01,"Set menu 250.000đ /người (1)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,4,"CÁ DỨA KHO TỘ"
SM250_01,"Set menu 250.000đ /người (1)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,5,"TÔM RANG MUỐI"
SM250_01,"Set menu 250.000đ /người (1)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,6,"CANH CHUA CÁ BÓP"
SM250_01,"Set menu 250.000đ /người (1)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,7,"CƠM NIÊU"
SM250_01,"Set menu 250.000đ /người (1)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,8,"TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ"
SM250_02,"Set menu 250.000đ /người (2)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,1,"ĐẬU QUE XÀO BÒ"
SM250_02,"Set menu 250.000đ /người (2)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,2,"GÀ CHIÊN NƯỚC MẮM"
SM250_02,"Set menu 250.000đ /người (2)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,3,"GIÒ HEO NẤU GIẢ CẦY"
SM250_02,"Set menu 250.000đ /người (2)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,4,"CÁ THU SỐT CÀ CHUA"
SM250_02,"Set menu 250.000đ /người (2)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,5,"TÔM CHÁY TỎI"
SM250_02,"Set menu 250.000đ /người (2)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,6,"CANH CHUA CÁ DỨA"
SM250_02,"Set menu 250.000đ /người (2)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,7,"CƠM NIÊU"
SM250_02,"Set menu 250.000đ /người (2)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,8,"TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ"
SM250_03,"Set menu 250.000đ /người (3)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,1,"RAU RỪNG GIA LAI XÀO BÒ"
SM250_03,"Set menu 250.000đ /người (3)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,2,"GÀ KHO XẢ ỚT"
SM250_03,"Set menu 250.000đ /người (3)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,3,"THỊT RANG CHÁY CẠNH"
SM250_03,"Set menu 250.000đ /người (3)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,4,"CÁ CHIM HẤP HONG KONG"
SM250_03,"Set menu 250.000đ /người (3)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,5,"TÔM CHIÊN NƯỚC MẮM"
SM250_03,"Set menu 250.000đ /người (3)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,6,"CANH HẾN (DẮT) MỒNG TƠI"
SM250_03,"Set menu 250.000đ /người (3)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,7,"CƠM NIÊU"
SM250_03,"Set menu 250.000đ /người (3)",250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,8,"TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ"
SM300_01,"Set menu 300.000đ /người (1)",300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,1,"GỎI BÒ ĐỒNG QUÊ"
SM300_01,"Set menu 300.000đ /người (1)",300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,2,"GÀ HẤP CẢI XANH"
SM300_01,"Set menu 300.000đ /người (1)",300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,3,"CÁ BỐNG MÚ CHƯNG TƯƠNG"
SM300_01,"Set menu 300.000đ /người (1)",300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,4,"BÒ SỐT TIÊU ĐEN"
SM300_01,"Set menu 300.000đ /người (1)",300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,5,"TÔM CÀNG CHÁY BƠ TỎI"
SM300_01,"Set menu 300.000đ /người (1)",300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,6,"LẨU VỊT OM SẤU"
SM300_01,"Set menu 300.000đ /người (1)",300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,7,"CƠM NIÊU"
SM300_01,"Set menu 300.000đ /người (1)",300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,8,"TRÁI CÂY + KHĂN LẠNH + TRÀ ĐÁ"
SM300_02,"Set menu 300.000đ /người (2)",300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,1,"GỎI THÁI HẢI SẢN"
SM300_02,"Set menu 300.000đ /người (2)",300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,2,"GÀ HẤP MẮM NHĨ"
