transaction_id,origin_transaction_id,set_name,price_vnd,price_tier,source_url,item_count,items,is_augmented,augmentation_method,replacement_count,replaced_slots
SM200_01,SM200_01,Set menu 200.000đ /người (1),200000,budget,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-1,6,Cải thìa xào dầu hào | Gà rang gừng | Cá bống kho tộ | Tôm rim thịt | Mực chiên nước mắm | Canh cua cà pháo,0,original_public_set_menu,0,
SM200_02,SM200_02,Set menu 200.000đ /người (2),200000,budget,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-2,6,Đậu que xào lòng gà | Vịt kho gừng | Cá ngừ đại dương kho thơm | Thịt kho trứng | Tôm rang muối | Canh thát lát khổ qua,0,original_public_set_menu,0,
SM200_03,SM200_03,Set menu 200.000đ /người (3),200000,budget,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,6,Rau luộc thập cẩm kho quẹt | Gà chiên nước mắm | Tôm cháy tỏi | Thịt kho củ cải trắng | Cá ngừ đại dương sốt cà | Canh cá nấu riêu,0,original_public_set_menu,0,
SM250_01,SM250_01,Set menu 250.000đ /người (1),250000,standard,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,6,Gân bò xào cải chua | Gà hấp mắm nhĩ | Bò sốt nấm | Cá dứa kho tộ | Tôm rang muối | Canh chua cá bóp,0,original_public_set_menu,0,
SM250_02,SM250_02,Set menu 250.000đ /người (2),250000,standard,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,6,Đậu que xào bò | Gà chiên nước mắm | Giò heo nấu giả cầy | Cá thu sốt cà chua | Tôm cháy tỏi | Canh chua cá dứa,0,original_public_set_menu,0,
SM250_03,SM250_03,Set menu 250.000đ /người (3),250000,standard,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,6,Rau rừng gia lai xào bò | Gà kho sả ớt | Thịt rang cháy cạnh | Cá chim hấp hong kong | Tôm chiên nước mắm | Canh hến (dắt) mồng tơi,0,original_public_set_menu,0,
SM300_01,SM300_01,Set menu 300.000đ /người (1),300000,standard,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,6,Gỏi bò đồng quê | Gà hấp cải xanh | Cá bống mú chưng tương | Bò sốt tiêu đen | Tôm càng cháy bơ tỏi | Lẩu vịt om sấu,0,original_public_set_menu,0,
SM300_02,SM300_02,Set menu 300.000đ /người (2),300000,standard,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,6,Gỏi thái hải sản | Gà hấp mắm nhĩ | Cá kho làng vũ đại | Bắp bò ngâm nước mắm | Tôm càng xanh rang muối | Lẩu ngót cá chim,0,original_public_set_menu,0,
SM300_03,SM300_03,Set menu 300.000đ /người (3),300000,standard,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3,6,Salad cải mầm bò | Gà hấp mía | Cá ngừ đại dương lúc lắc | Tôm càng hấp bia | Mực 1 nắng chiên nước mắm | Lẩu riêu cua sườn sun,0,original_public_set_menu,0,
SM350_01,SM350_01,Set menu 350.000đ /người (1),350000,premium,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1,6,Gỏi tiến vua tôm thịt | Gà hấp mắm nhĩ | Bắp bò ngâm nước mắm | Cá kho làng vũ đại | Tôm càng hấp nước dừa | Lẩu cua nấu bầu,0,original_public_set_menu,0,
SM350_02,SM350_02,Set menu 350.000đ /người (2),350000,premium,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3,6,Gân bò xào cải chua | Chả mực hạ long | Cá kho làng vũ đại | Gà sốt nấm đông cô | Nem ghẹ phú quốc | Lẩu vịt om sấu,0,original_public_set_menu,0,
SM450_01,SM450_01,Set menu 450.000đ /người,450000,vip,https://comnieuvietnam.vn/products/set-menu-450-000d-nguoi,8,Gân bò xào cải chua | Gà xào sả ớt | Cá bống mú chưng tương | Tôm càng rang muối | Nem rán thịt ghẹ | Măng xào thịt ba rọi | Mực 1 nắng chiên nước mắm | Lẩu riêu cá chép giòn,0,original_public_set_menu,0,
AUG0001,SM200_02,Augmented from Set menu 200.000đ /người (2),200000,budget,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-2,6,Đậu que xào lòng gà | Gà chiên nước mắm | Cá ngừ đại dương kho thơm | Thịt kho trứng | Tôm rang muối | Canh thát lát khổ qua,1,slot_price_tier_resampling,1,2
AUG0002,SM200_03,Augmented from Set menu 200.000đ /người (3),200000,budget,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,6,Rau luộc thập cẩm kho quẹt | Gà chiên nước mắm | Tôm cháy tỏi | Thịt kho củ cải trắng | Cá ngừ đại dương sốt cà | Canh cua cà pháo,1,slot_price_tier_resampling,1,6
AUG0003,SM250_01,Augmented from Set menu 250.000đ /người (1),250000,standard,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,6,Gân bò xào cải chua | Gà hấp mắm nhĩ | Cá ngừ đại dương lúc lắc | Tôm càng hấp bia | Tôm rang muối | Lẩu riêu cua sườn sun,1,slot_price_tier_resampling,3,3 | 4 | 6
AUG0004,SM250_02,Augmented from Set menu 250.000đ /người (2),250000,standard,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,6,Gỏi thái hải sản | Gà chiên nước mắm | Giò heo nấu giả cầy | Cá thu sốt cà chua | Tôm cháy tỏi | Canh chua cá dứa,1,slot_price_tier_resampling,1,1
AUG0005,SM250_03,Augmented from Set menu 250.000đ /người (3),250000,standard,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,6,Rau rừng gia lai xào bò | Gà kho sả ớt | Thịt rang cháy cạnh | Cá chim hấp hong kong | Tôm rang muối | Lẩu ngót cá chim,1,slot_price_tier_resampling,2,5 | 6
AUG0006,SM300_01,Augmented from Set menu 300.000đ /người (1),300000,standard,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,6,Gỏi bò đồng quê | Gà hấp cải xanh | Cá bống mú chưng tương | Bò sốt tiêu đen | Tôm chiên nước mắm | Lẩu vịt om sấu,1,slot_price_tier_resampling,1,5
AUG0007,SM300_02,Augmented from Set menu 300.000đ /người (2),300000,standard,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,6,Gỏi thái hải sản | Gà hấp mắm nhĩ | Cá kho làng vũ đại | Cá dứa kho tộ | Tôm càng xanh rang muối | Lẩu ngót cá chim,1,slot_price_tier_resampling,1,4
AUG0008,SM300_03,Augmented from Set menu 300.000đ /người (3),300000,standard,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3,6,Đậu que xào bò | Gà hấp cải xanh | Cá ngừ đại dương lúc lắc | Tôm càng hấp bia | Mực 1 nắng chiên nước mắm | Lẩu riêu cua sườn sun,1,slot_price_tier_resampling,2,1 | 2
AUG0009,SM350_01,Augmented from Set menu 350.000đ /người (1),350000,premium,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1,6,Gân bò xào cải chua | Gà hấp mắm nhĩ | Bắp bò ngâm nước mắm | Cá kho làng vũ đại | Tôm càng hấp nước dừa | Lẩu cua nấu bầu,1,slot_price_tier_resampling,1,1
AUG0010,SM350_02,Augmented from Set menu 350.000đ /người (2),350000,premium,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3,6,Gân bò xào cải chua | Gà hấp mắm nhĩ | Cá kho làng vũ đại | Gà sốt nấm đông cô | Nem ghẹ phú quốc | Lẩu vịt om sấu,1,slot_price_tier_resampling,1,2
AUG0011,SM200_01,Augmented from Set menu 200.000đ /người (1),200000,budget,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-1,6,Cải thìa xào dầu hào | Gà chiên nước mắm | Cá bống kho tộ | Tôm rim thịt | Mực chiên nước mắm | Canh cua cà pháo,1,slot_price_tier_resampling,1,2
AUG0012,SM200_02,Augmented from Set menu 200.000đ /người (2),200000,budget,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-2,6,Đậu que xào lòng gà | Vịt kho gừng | Cá bống kho tộ | Thịt kho củ cải trắng | Tôm rang muối | Canh cá nấu riêu,1,slot_price_tier_resampling,3,3 | 4 | 6
AUG0013,SM200_03,Augmented from Set menu 200.000đ /người (3),200000,budget,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,6,Rau luộc thập cẩm kho quẹt | Gà rang gừng | Tôm cháy tỏi | Tôm rim thịt | Cá ngừ đại dương sốt cà | Canh thát lát khổ qua,1,slot_price_tier_resampling,3,2 | 4 | 6
AUG0014,SM250_01,Augmented from Set menu 250.000đ /người (1),250000,standard,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,6,Rau rừng gia lai xào bò | Gà kho sả ớt | Bò sốt nấm | Cá dứa kho tộ | Tôm rang muối | Lẩu ngót cá chim,1,slot_price_tier_resampling,3,1 | 2 | 6
AUG0015,SM250_02,Augmented from Set menu 250.000đ /người (2),250000,standard,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,6,Đậu que xào bò | Gà kho sả ớt | Giò heo nấu giả cầy | Cá chim hấp hong kong | Tôm cháy tỏi | Canh chua cá dứa,1,slot_price_tier_resampling,2,2 | 4
AUG0016,SM250_03,Augmented from Set menu 250.000đ /người (3),250000,standard,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,6,Đậu que xào bò | Gà kho sả ớt | Cá ngừ đại dương lúc lắc | Cá chim hấp hong kong | Tôm chiên nước mắm | Lẩu riêu cua sườn sun,1,slot_price_tier_resampling,3,1 | 3 | 6
AUG0017,SM300_01,Augmented from Set menu 300.000đ /người (1),300000,standard,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,6,Gỏi bò đồng quê | Gà hấp cải xanh | Cá bống mú chưng tương | Bò sốt tiêu đen | Mực 1 nắng chiên nước mắm | Lẩu vịt om sấu,1,slot_price_tier_resampling,1,5
AUG0018,SM300_02,Augmented from Set menu 300.000đ /người (2),300000,standard,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,6,Đậu que xào bò | Gà hấp mắm nhĩ | Cá kho làng vũ đại | Cá chim hấp hong kong | Tôm càng xanh rang muối | Lẩu ngót cá chim,1,slot_price_tier_resampling,2,1 | 4
AUG0019,SM300_03,Augmented from Set menu 300.000đ /người (3),300000,standard,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3,6,Gỏi bò đồng quê | Gà hấp mía | Cá ngừ đại dương lúc lắc | Tôm càng hấp bia | Mực 1 nắng chiên nước mắm | Lẩu riêu cua sườn sun,1,slot_price_tier_resampling,1,1
AUG0020,SM350_01,Augmented from Set menu 350.000đ /người (1),350000,premium,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1,6,Gỏi tiến vua tôm thịt | Chả mực hạ long | Bắp bò ngâm nước mắm | Cá kho làng vũ đại | Nem ghẹ phú quốc | Lẩu vịt om sấu,1,slot_price_tier_resampling,3,2 | 5 | 6
AUG0021,SM350_02,Augmented from Set menu 350.000đ /người (2),350000,premium,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3,6,Gân bò xào cải chua | Chả mực hạ long | Cá kho làng vũ đại | Gà sốt nấm đông cô | Nem ghẹ phú quốc | Lẩu cua nấu bầu,1,slot_price_tier_resampling,1,6
AUG0022,SM200_01,Augmented from Set menu 200.000đ /người (1),200000,budget,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-1,6,Rau luộc thập cẩm kho quẹt | Gà rang gừng | Cá bống kho tộ | Tôm rim thịt | Mực chiên nước mắm | Canh thát lát khổ qua,1,slot_price_tier_resampling,2,1 | 6
AUG0023,SM200_02,Augmented from Set menu 200.000đ /người (2),200000,budget,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-2,6,Rau luộc thập cẩm kho quẹt | Gà rang gừng | Cá ngừ đại dương kho thơm | Thịt kho trứng | Tôm rang muối | Canh thát lát khổ qua,1,slot_price_tier_resampling,2,1 | 2
AUG0024,SM200_03,Augmented from Set menu 200.000đ /người (3),200000,budget,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,6,Cải thìa xào dầu hào | Gà chiên nước mắm | Tôm cháy tỏi | Thịt kho củ cải trắng | Cá ngừ đại dương sốt cà | Canh cá nấu riêu,1,slot_price_tier_resampling,1,1
AUG0025,SM250_01,Augmented from Set menu 250.000đ /người (1),250000,standard,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,6,Gân bò xào cải chua | Gà hấp mắm nhĩ | Cá bống mú chưng tương | Cá dứa kho tộ | Tôm rang muối | Lẩu ngót cá chim,1,slot_price_tier_resampling,2,3 | 6
AUG0026,SM250_02,Augmented from Set menu 250.000đ /người (2),250000,standard,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,6,Đậu que xào bò | Gà chiên nước mắm | Giò heo nấu giả cầy | Tôm càng hấp bia | Tôm cháy tỏi | Canh chua cá dứa,1,slot_price_tier_resampling,1,4
AUG0027,SM250_03,Augmented from Set menu 250.000đ /người (3),250000,standard,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,6,Gân bò xào cải chua | Gà kho sả ớt | Thịt rang cháy cạnh | Cá chim hấp hong kong | Tôm chiên nước mắm | Lẩu riêu cua sườn sun,1,slot_price_tier_resampling,2,1 | 6
AUG0028,SM300_01,Augmented from Set menu 300.000đ /người (1),300000,standard,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,6,Đậu que xào bò | Gà hấp cải xanh | Cá bống mú chưng tương | Bò sốt tiêu đen | Mực 1 nắng chiên nước mắm | Lẩu vịt om sấu,1,slot_price_tier_resampling,2,1 | 5
AUG0029,SM300_02,Augmented from Set menu 300.000đ /người (2),300000,standard,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,6,Gỏi thái hải sản | Gà hấp mắm nhĩ | Cá ngừ đại dương lúc lắc | Bắp bò ngâm nước mắm | Tôm cháy tỏi | Lẩu ngót cá chim,1,slot_price_tier_resampling,2,3 | 5
AUG0030,SM300_03,Augmented from Set menu 300.000đ /người (3),300000,standard,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3,6,Salad cải mầm bò | Gà hấp mía | Giò heo nấu giả cầy | Cá thu sốt cà chua | Mực 1 nắng chiên nước mắm | Lẩu riêu cua sườn sun,1,slot_price_tier_resampling,2,3 | 4
AUG0031,SM350_01,Augmented from Set menu 350.000đ /người (1),350000,premium,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1,6,Gỏi tiến vua tôm thịt | Gà hấp mắm nhĩ | Bắp bò ngâm nước mắm | Cá kho làng vũ đại | Tôm càng hấp nước dừa | Lẩu vịt om sấu,1,slot_price_tier_resampling,1,6
AUG0032,SM350_02,Augmented from Set menu 350.000đ /người (2),350000,premium,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3,6,Gân bò xào cải chua | Chả mực hạ long | Cá kho làng vũ đại | Gà sốt nấm đông cô | Tôm càng hấp nước dừa | Lẩu vịt om sấu,1,slot_price_tier_resampling,1,5
AUG0033,SM200_01,Augmented from Set menu 200.000đ /người (1),200000,budget,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-1,6,Đậu que xào lòng gà | Gà rang gừng | Tôm cháy tỏi | Tôm rim thịt | Mực chiên nước mắm | Canh cua cà pháo,1,slot_price_tier_resampling,2,1 | 3
AUG0034,SM200_02,Augmented from Set menu 200.000đ /người (2),200000,budget,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-2,6,Cải thìa xào dầu hào | Vịt kho gừng | Cá ngừ đại dương kho thơm | Thịt kho trứng | Tôm rang muối | Canh thát lát khổ qua,1,slot_price_tier_resampling,1,1
AUG0035,SM200_03,Augmented from Set menu 200.000đ /người (3),200000,budget,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,6,Rau luộc thập cẩm kho quẹt | Gà chiên nước mắm | Tôm cháy tỏi | Thịt kho củ cải trắng | Tôm rang muối | Canh cá nấu riêu,1,slot_price_tier_resampling,1,5
AUG0036,SM250_01,Augmented from Set menu 250.000đ /người (1),250000,standard,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,6,Gân bò xào cải chua | Gà hấp mắm nhĩ | Bò sốt nấm | Cá dứa kho tộ | Tôm càng cháy bơ tỏi | Canh chua cá bóp,1,slot_price_tier_resampling,1,5
AUG0037,SM250_02,Augmented from Set menu 250.000đ /người (2),250000,standard,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,6,Đậu que xào bò | Gà chiên nước mắm | Giò heo nấu giả cầy | Cá thu sốt cà chua | Tôm càng xanh rang muối | Canh chua cá dứa,1,slot_price_tier_resampling,1,5
AUG0038,SM250_03,Augmented from Set menu 250.000đ /người (3),250000,standard,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,6,Rau rừng gia lai xào bò | Gà kho sả ớt | Thịt rang cháy cạnh | Cá chim hấp hong kong | Tôm càng xanh rang muối | Lẩu riêu cua sườn sun,1,slot_price_tier_resampling,2,5 | 6
AUG0039,SM300_01,Augmented from Set menu 300.000đ /người (1),300000,standard,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,6,Gỏi bò đồng quê | Gà hấp cải xanh | Cá bống mú chưng tương | Cá thu sốt cà chua | Tôm càng xanh rang muối | Lẩu vịt om sấu,1,slot_price_tier_resampling,2,4 | 5
AUG0040,SM300_02,Augmented from Set menu 300.000đ /người (2),300000,standard,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,6,Gỏi thái hải sản | Gà hấp mắm nhĩ | Cá bống mú chưng tương | Bắp bò ngâm nước mắm | Tôm càng xanh rang muối | Lẩu riêu cua sườn sun,1,slot_price_tier_resampling,2,3 | 6
AUG0041,SM300_03,Augmented from Set menu 300.000đ /người (3),300000,standard,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3,6,Salad cải mầm bò | Gà hấp mía | Cá ngừ đại dương lúc lắc | Cá thu sốt cà chua | Mực 1 nắng chiên nước mắm | Lẩu vịt om sấu,1,slot_price_tier_resampling,2,4 | 6
AUG0042,SM350_01,Augmented from Set menu 350.000đ /người (1),350000,premium,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1,6,Gỏi tiến vua tôm thịt | Chả mực hạ long | Bắp bò ngâm nước mắm | Cá kho làng vũ đại | Tôm càng hấp nước dừa | Lẩu cua nấu bầu,1,slot_price_tier_resampling,1,2
AUG0043,SM350_02,Augmented from Set menu 350.000đ /người (2),350000,premium,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-3,6,Gỏi tiến vua tôm thịt | Chả mực hạ long | Cá kho làng vũ đại | Gà sốt nấm đông cô | Nem ghẹ phú quốc | Lẩu cua nấu bầu,1,slot_price_tier_resampling,2,1 | 6
