transaction_id,set_name,price_vnd,source_url,item_count,items,all_clean_items,excluded_items
SM200_01,Set menu 200.000đ /người (1),200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-1,6,Cải thìa xào dầu hào | Gà rang gừng | Cá bống kho tộ | Tôm rim thịt | Mực chiên nước mắm | Canh cua cà pháo,Cải thìa xào dầu hào | Gà rang gừng | Cá bống kho tộ | Tôm rim thịt | Mực chiên nước mắm | Canh cua cà pháo | Cơm niêu | Khăn lạnh | Trà đá | Trái cây,Cơm niêu | Khăn lạnh | Trà đá | Trái cây
SM200_02,Set menu 200.000đ /người (2),200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-2,6,Đậu que xào lòng gà | Vịt kho gừng | Cá ngừ đại dương kho thơm | Thịt kho trứng | Tôm rang muối | Canh thát lát khổ qua,Đậu que xào lòng gà | Vịt kho gừng | Cá ngừ đại dương kho thơm | Thịt kho trứng | Tôm rang muối | Canh thát lát khổ qua | Cơm niêu | Khăn lạnh | Trà đá | Trái cây,Cơm niêu | Khăn lạnh | Trà đá | Trái cây
SM200_03,Set menu 200.000đ /người (3),200000,https://comnieuvietnam.vn/products/set-menu-200-000d-nguoi-3,6,Rau luộc thập cẩm kho quẹt | Gà chiên nước mắm | Tôm cháy tỏi | Thịt kho củ cải trắng | Cá ngừ đại dương sốt cà | Canh cá nấu riêu,Rau luộc thập cẩm kho quẹt | Gà chiên nước mắm | Tôm cháy tỏi | Thịt kho củ cải trắng | Cá ngừ đại dương sốt cà | Canh cá nấu riêu | Cơm niêu | Khăn lạnh | Trà đá | Trái cây,Cơm niêu | Khăn lạnh | Trà đá | Trái cây
SM250_01,Set menu 250.000đ /người (1),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-1,6,Gân bò xào cải chua | Gà hấp mắm nhĩ | Bò sốt nấm | Cá dứa kho tộ | Tôm rang muối | Canh chua cá bóp,Gân bò xào cải chua | Gà hấp mắm nhĩ | Bò sốt nấm | Cá dứa kho tộ | Tôm rang muối | Canh chua cá bóp | Cơm niêu | Khăn lạnh | Trà đá | Trái cây,Cơm niêu | Khăn lạnh | Trà đá | Trái cây
SM250_02,Set menu 250.000đ /người (2),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-2,6,Đậu que xào bò | Gà chiên nước mắm | Giò heo nấu giả cầy | Cá thu sốt cà chua | Tôm cháy tỏi | Canh chua cá dứa,Đậu que xào bò | Gà chiên nước mắm | Giò heo nấu giả cầy | Cá thu sốt cà chua | Tôm cháy tỏi | Canh chua cá dứa | Cơm niêu | Khăn lạnh | Trà đá | Trái cây,Cơm niêu | Khăn lạnh | Trà đá | Trái cây
SM250_03,Set menu 250.000đ /người (3),250000,https://comnieuvietnam.vn/products/set-menu-250-000d-nguoi-3,6,Rau rừng gia lai xào bò | Gà kho sả ớt | Thịt rang cháy cạnh | Cá chim hấp hong kong | Tôm chiên nước mắm | Canh hến (dắt) mồng tơi,Rau rừng gia lai xào bò | Gà kho sả ớt | Thịt rang cháy cạnh | Cá chim hấp hong kong | Tôm chiên nước mắm | Canh hến (dắt) mồng tơi | Cơm niêu | Khăn lạnh | Trà đá | Trái cây,Cơm niêu | Khăn lạnh | Trà đá | Trái cây
SM300_01,Set menu 300.000đ /người (1),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-1,6,Gỏi bò đồng quê | Gà hấp cải xanh | Cá bống mú chưng tương | Bò sốt tiêu đen | Tôm càng cháy bơ tỏi | Lẩu vịt om sấu,Gỏi bò đồng quê | Gà hấp cải xanh | Cá bống mú chưng tương | Bò sốt tiêu đen | Tôm càng cháy bơ tỏi | Lẩu vịt om sấu | Cơm niêu | Khăn lạnh | Trà đá | Trái cây,Cơm niêu | Khăn lạnh | Trà đá | Trái cây
SM300_02,Set menu 300.000đ /người (2),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-2,6,Gỏi thái hải sản | Gà hấp mắm nhĩ | Cá kho làng vũ đại | Bắp bò ngâm nước mắm | Tôm càng xanh rang muối | Lẩu ngót cá chim,Gỏi thái hải sản | Gà hấp mắm nhĩ | Cá kho làng vũ đại | Bắp bò ngâm nước mắm | Tôm càng xanh rang muối | Lẩu ngót cá chim | Cơm niêu | Khăn lạnh | Trà đá | Trái cây,Cơm niêu | Khăn lạnh | Trà đá | Trái cây
SM300_03,Set menu 300.000đ /người (3),300000,https://comnieuvietnam.vn/products/set-menu-300-000d-nguoi-3,6,Salad cải mầm bò | Gà hấp mía | Cá ngừ đại dương lúc lắc | Tôm càng hấp bia | Mực 1 nắng chiên nước mắm | Lẩu riêu cua sườn sun,Salad cải mầm bò | Gà hấp mía | Cá ngừ đại dương lúc lắc | Tôm càng hấp bia | Mực 1 nắng chiên nước mắm | Lẩu riêu cua sườn sun | Cơm niêu | Khăn lạnh | Trà đá | Trái cây,Cơm niêu | Khăn lạnh | Trà đá | Trái cây
SM350_01,Set menu 350.000đ /người (1),350000,https://comnieuvietnam.vn/products/set-menu-350-000d-nguoi-1,6,Gỏi tiến vua tôm thịt | Gà hấp mắm nhĩ | Bắp bò ngâm nước mắm | Cá kho làng vũ đại | Tôm càng hấp nước dừa | Lẩu cua nấu bầu,Gỏi tiến vua tôm thịt | Gà hấp mắm nhĩ | Bắp bò ngâm nước mắm | Cá kho làng vũ đại | Tôm càng hấp nước dừa | Lẩu cua nấu bầu | Cơm niêu | Khăn lạnh | Trà đá | Trái cây,Cơm niêu | Khăn lạnh | Trà đá | Trái cây
